date,areaName,admissions,admissionsRollingRate,patients,patientsMv,cumAdmissionsRollingRate00_05,cumAdmissions00_05,cumAdmissionsRollingRate06_17,cumAdmissions06_17,cumAdmissionsRollingRate18_64,cumAdmissions18_64,cumAdmissionsRollingRate65_84,cumAdmissions65_84,cumAdmissionsRollingRate85+,cumAdmissions85+
2020-03-19,East of England,23,,,,0.0,0,0.0,0,0.1,5,1.0,11,1.1,2
2020-03-20,East of England,23,,59,,0.0,0,0.0,0,0.4,14,1.5,17,5.0,9
2020-03-21,East of England,37,,74,,0.0,0,0.0,0,0.6,23,3.2,35,7.8,14
2020-03-22,East of England,49,,95,,0.0,0,0.0,0,0.9,35,5.8,64,11.7,21
2020-03-23,East of England,46,,133,,0.0,0,0.0,0,1.3,49,8.1,89,15.1,27
2020-03-24,East of England,106,,154,,0.4,2,0.0,0,2.2,84,12.1,133,26.8,48
2020-03-25,East of England,76,5.5,196,,0.4,2,0.0,0,2.7,104,15.4,170,35.8,64
2020-03-26,East of England,160,7.6,295,,0.4,2,0.0,0,4.9,189,19.0,210,48.6,87
2020-03-27,East of England,94,8.7,341,,0.6,3,0.0,0,5.5,210,21.8,240,54.8,98
2020-03-28,East of England,124,10.0,429,,0.9,4,0.0,0,6.6,254,26.7,295,67.6,121
2020-03-29,East of England,201,12.4,482,,0.9,4,0.2,2,7.8,298,31.4,346,82.7,148
2020-03-30,East of England,148,13.9,628,,0.9,4,0.2,2,9.3,354,36.8,406,93.9,168
2020-03-31,East of England,146,14.5,793,,0.9,4,0.2,2,10.5,401,41.6,459,109.0,195
2020-04-01,East of England,167,15.9,833,,0.9,4,0.4,4,11.8,453,48.1,531,131.9,236
2020-04-02,East of England,184,16.3,841,119,0.9,4,0.5,5,13.1,500,54.6,603,145.9,261
2020-04-03,East of England,192,17.8,914,162,0.9,4,0.7,7,15.2,583,61.7,681,159.9,286
2020-04-04,East of England,163,18.4,988,171,0.9,4,0.8,8,16.7,638,67.7,747,178.3,319
2020-04-05,East of England,220,18.7,1230,219,1.7,8,0.9,9,18.4,703,76.1,840,205.7,368
2020-04-06,East of England,231,20.0,1220,204,2.1,10,1.2,11,20.1,769,85.4,942,237.6,425
2020-04-07,East of England,164,20.2,1431,255,2.1,10,1.3,12,21.6,825,92.6,1022,252.7,452
2020-04-08,East of England,219,21.0,1435,276,2.1,10,1.4,13,23.4,895,100.9,1113,282.3,505
2020-04-09,East of England,192,21.2,1411,265,2.8,13,1.4,13,24.6,941,107.3,1184,313.6,561
2020-04-10,East of England,215,21.5,1500,280,3.2,15,1.5,14,26.3,1007,115.0,1269,340.4,609
2020-04-11,East of England,165,21.5,1497,283,3.4,16,1.6,15,27.6,1055,122.1,1347,358.3,641
2020-04-12,East of England,144,20.4,1679,291,3.4,16,1.7,16,28.7,1098,126.8,1399,374.0,669
2020-04-13,East of England,214,20.1,1471,264,3.4,16,1.7,16,30.1,1153,134.6,1485,399.1,714
2020-04-14,East of England,187,20.5,1592,303,3.6,17,1.7,16,31.5,1207,141.4,1560,431.0,771
2020-04-15,East of England,113,18.8,1621,308,3.6,17,1.7,16,32.5,1244,145.5,1606,447.8,801
2020-04-16,East of England,133,17.9,1577,308,4.0,19,1.7,16,33.7,1288,150.6,1662,465.1,832
2020-04-17,East of England,154,17.0,1534,320,4.5,21,1.8,17,34.6,1324,157.6,1739,486.3,870
2020-04-18,East of England,191,17.4,1529,312,4.5,21,2.0,19,36.1,1382,164.7,1817,516.0,923
2020-04-19,East of England,148,17.5,1579,306,4.9,23,2.0,19,37.1,1418,171.2,1889,537.2,961
2020-04-20,East of England,126,16.1,1587,294,4.9,23,2.0,19,37.7,1442,176.4,1947,561.8,1005
2020-04-21,East of England,148,15.5,1544,279,4.9,23,2.0,19,38.6,1476,181.8,2006,588.6,1053
2020-04-22,East of England,120,15.6,1511,276,4.9,23,2.1,20,39.1,1495,187.1,2065,611.6,1094
2020-04-23,East of England,128,15.5,1472,267,5.3,25,2.3,22,39.6,1517,192.0,2119,628.3,1124
2020-04-24,East of England,141,15.3,1404,263,5.3,25,2.3,22,40.6,1553,197.4,2178,650.1,1163
2020-04-25,East of England,128,14.4,1384,260,5.3,25,2.3,22,41.3,1581,202.2,2231,676.4,1210
2020-04-26,East of England,148,14.4,1422,253,5.3,25,2.3,22,42.3,1619,207.4,2288,706.0,1263
2020-04-27,East of England,127,14.4,1413,231,5.3,25,2.3,22,43.2,1654,212.7,2347,724.5,1296
2020-04-28,East of England,184,14.9,1389,223,5.5,26,2.4,23,44.5,1703,219.8,2425,755.2,1351
2020-04-29,East of England,157,15.5,1319,210,6.0,28,2.5,24,45.6,1745,225.8,2492,780.4,1396
2020-04-30,East of England,198,16.6,1253,202,6.6,31,2.6,25,47.0,1799,233.2,2573,813.4,1455
2020-05-01,East of England,127,16.4,1211,193,7.0,33,2.7,26,47.9,1831,239.0,2637,829.0,1483
2020-05-02,East of England,111,16.1,1190,183,7.2,34,2.8,27,48.6,1859,243.4,2686,844.1,1510
2020-05-03,East of England,166,16.4,1223,179,7.5,35,3.1,29,49.9,1908,249.7,2755,869.3,1555
2020-05-04,East of England,106,16.1,1138,176,7.7,36,3.1,29,50.5,1933,253.9,2802,887.7,1588
2020-05-05,East of England,90,14.6,1160,176,7.9,37,3.2,30,51.0,1953,257.1,2837,906.1,1621
2020-05-06,East of England,128,14.2,1106,171,7.9,37,3.3,31,52.0,1989,261.3,2883,930.2,1664
2020-05-07,East of England,116,12.9,1084,152,7.9,37,3.4,32,52.8,2021,265.9,2934,948.1,1696
2020-05-08,East of England,70,12.1,1022,142,7.9,37,3.4,32,53.2,2034,268.3,2960,965.4,1727
2020-05-09,East of England,101,11.9,1032,144,7.9,37,3.4,32,53.9,2063,271.5,2996,985.5,1763
2020-05-10,East of England,71,10.4,1076,142,7.9,37,3.4,32,54.2,2074,274.1,3024,1003.4,1795
2020-05-11,East of England,88,10.2,1069,137,8.1,38,3.4,32,54.8,2095,277.5,3062,1019.1,1823
2020-05-12,East of England,116,10.6,1049,134,8.3,39,3.4,32,55.4,2120,281.8,3109,1043.1,1866
2020-05-13,East of England,72,9.7,1014,129,8.7,41,3.4,32,55.8,2135,284.7,3141,1054.3,1886
2020-05-14,East of England,88,9.3,979,125,8.9,42,3.4,32,56.2,2152,288.5,3183,1069.4,1913
2020-05-15,East of England,92,9.6,952,127,9.2,43,3.4,32,56.7,2171,292.5,3227,1085.0,1941
2020-05-16,East of England,72,9.2,916,125,9.2,43,3.4,32,57.2,2187,295.3,3258,1099.0,1966
2020-05-17,East of England,85,9.4,934,125,9.2,43,3.4,32,57.6,2205,299.0,3299,1113.5,1992
2020-05-18,East of England,81,9.3,924,121,9.2,43,3.4,32,58.0,2220,302.9,3342,1126.4,2015
2020-05-19,East of England,86,8.8,913,122,9.2,43,3.4,32,58.4,2234,306.2,3379,1146.0,2050
2020-05-20,East of England,93,9.1,888,113,9.4,44,3.4,32,58.8,2251,309.8,3418,1166.1,2086
2020-05-21,East of England,77,9.0,866,109,9.4,44,3.4,32,59.2,2267,312.2,3445,1185.1,2120
2020-05-22,East of England,79,8.8,831,104,9.6,45,3.4,32,59.8,2289,315.7,3484,1194.6,2137
2020-05-23,East of England,39,8.3,816,98,10.0,47,3.4,32,60.0,2294,317.8,3507,1199.6,2146
2020-05-24,East of England,52,7.8,795,88,10.0,47,3.5,33,60.2,2305,319.6,3527,1210.8,2166
2020-05-25,East of England,51,7.3,798,92,10.0,47,3.7,35,60.6,2319,321.8,3551,1217.0,2177
2020-05-26,East of England,85,7.3,755,86,10.0,47,3.8,36,60.9,2332,325.8,3595,1232.0,2204
2020-05-27,East of England,57,6.7,737,85,10.2,48,3.8,36,61.3,2345,327.9,3618,1243.2,2224
2020-05-28,East of England,53,6.4,701,78,10.2,48,3.8,36,61.7,2362,329.7,3638,1252.2,2240
2020-05-29,East of England,54,6.0,603,68,10.2,48,3.8,36,62.1,2378,331.9,3662,1260.0,2254
2020-05-30,East of England,43,6.0,622,65,10.4,49,3.8,36,62.4,2387,333.6,3681,1267.8,2268
2020-05-31,East of England,29,5.7,597,63,10.4,49,3.8,36,62.6,2396,334.5,3691,1273.4,2278
2020-06-01,East of England,58,5.8,614,64,10.6,50,3.8,36,62.9,2407,337.5,3724,1280.7,2291
2020-06-02,East of England,60,5.4,574,61,10.9,51,3.9,37,63.2,2420,340.1,3753,1289.6,2307
2020-06-03,East of England,46,5.3,547,60,10.9,51,3.9,37,63.5,2429,341.9,3773,1299.1,2324
2020-06-04,East of England,58,5.3,503,54,11.1,52,4.0,38,63.8,2442,344.3,3799,1308.6,2341
2020-06-05,East of England,44,5.2,490,49,11.3,53,4.0,38,64.2,2457,345.8,3816,1314.8,2352
2020-06-06,East of England,30,5.0,503,46,11.3,53,4.0,38,64.4,2466,346.9,3828,1319.8,2361
2020-06-07,East of England,32,5.0,453,40,11.3,53,4.0,38,64.7,2474,347.9,3839,1327.1,2374
2020-06-08,East of England,28,4.6,457,45,11.3,53,4.0,38,64.9,2483,349.2,3853,1329.9,2379
2020-06-09,East of England,44,4.3,405,42,11.5,54,4.1,39,65.1,2491,350.9,3872,1338.3,2394
2020-06-10,East of England,39,4.2,390,48,11.5,54,4.1,39,65.3,2500,352.9,3894,1342.7,2402
2020-06-11,East of England,42,4.0,376,43,11.5,54,4.1,39,65.7,2513,354.9,3916,1346.6,2409
2020-06-12,East of England,30,3.8,364,41,11.5,54,4.1,39,65.9,2523,356.1,3929,1350.6,2416
2020-06-13,East of England,32,3.8,364,45,11.5,54,4.2,40,66.1,2530,357.8,3948,1353.4,2421
2020-06-14,East of England,38,3.9,348,45,11.5,54,4.3,41,66.5,2543,359.1,3962,1358.9,2431
2020-06-15,East of England,57,4.3,318,39,11.5,54,4.3,41,66.7,2554,361.7,3991,1368.4,2448
2020-06-16,East of England,33,4.2,363,42,11.5,54,4.3,41,67.0,2562,363.3,4009,1372.4,2455
2020-06-17,East of England,43,4.2,387,39,11.7,55,4.3,41,67.3,2577,364.9,4026,1377.9,2465
2020-06-18,East of England,38,4.2,363,35,11.7,55,4.3,41,67.6,2587,366.5,4044,1383.5,2475
2020-06-19,East of England,28,4.1,393,34,11.7,55,4.3,41,67.9,2597,367.2,4052,1389.1,2485
2020-06-20,East of England,19,3.9,352,31,11.7,55,4.3,41,68.0,2601,368.2,4063,1391.4,2489
2020-06-21,East of England,22,3.7,348,29,11.7,55,4.3,41,68.1,2605,369.0,4072,1396.4,2498
2020-06-22,East of England,43,3.5,369,57,11.7,55,4.3,41,68.5,2621,370.8,4091,1400.9,2506
2020-06-23,East of England,21,3.3,335,28,11.7,55,4.3,41,68.7,2629,371.7,4101,1402.5,2509
2020-06-24,East of England,20,2.9,346,28,11.9,56,4.3,41,68.9,2635,372.0,4105,1407.6,2518
2020-06-25,East of England,42,3.0,327,27,11.9,56,4.3,41,69.3,2650,373.3,4119,1414.8,2531
2020-06-26,East of England,32,3.0,313,24,11.9,56,4.3,41,69.6,2662,374.4,4131,1419.3,2539
2020-06-27,East of England,15,3.0,289,24,11.9,56,4.3,41,69.7,2666,375.0,4138,1421.6,2543
2020-06-28,East of England,9,2.8,288,24,11.9,56,4.3,41,69.8,2670,375.3,4141,1422.7,2545
2020-06-29,East of England,21,2.5,291,25,11.9,56,4.3,41,69.9,2673,376.3,4152,1426.6,2552
2020-06-30,East of England,20,2.4,264,24,11.9,56,4.3,41,70.0,2678,377.1,4161,1429.9,2558
2020-07-01,East of England,20,2.4,248,23,12.1,57,4.3,41,70.2,2685,377.6,4167,1433.3,2564
2020-07-02,East of England,22,2.1,231,23,12.1,57,4.3,41,70.3,2691,378.5,4176,1437.2,2571
2020-07-03,East of England,9,1.8,242,25,12.1,57,4.3,41,70.4,2694,378.5,4177,1440.0,2576
2020-07-04,East of England,17,1.8,220,24,12.1,57,4.3,41,70.5,2699,379.1,4183,1443.4,2582
2020-07-05,East of England,24,2.0,224,28,12.1,57,4.3,41,70.8,2708,379.9,4192,1446.7,2588
2020-07-06,East of England,22,2.1,227,27,12.1,57,4.3,41,70.9,2713,380.8,4202,1450.6,2595
2020-07-07,East of England,18,2.0,224,24,12.1,57,4.4,42,71.1,2720,381.4,4208,1452.9,2599
2020-07-08,East of England,16,2.0,222,24,12.1,57,4.4,42,71.2,2724,382.2,4217,1454.5,2602
2020-07-09,East of England,8,1.7,212,24,12.1,57,4.4,42,71.3,2727,382.4,4220,1455.7,2604
2020-07-10,East of England,9,1.7,199,27,12.1,57,4.4,42,71.3,2728,382.8,4224,1457.9,2608
2020-07-11,East of England,12,1.7,171,24,12.3,58,4.4,42,71.3,2730,383.1,4227,1461.2,2614
2020-07-12,East of England,11,1.5,171,19,12.3,58,4.4,42,71.5,2735,383.3,4230,1462.9,2617
2020-07-13,East of England,19,1.4,176,20,12.3,58,4.5,43,71.7,2742,383.9,4236,1465.7,2622
2020-07-14,East of England,17,1.4,162,16,12.6,59,4.5,43,71.8,2749,384.3,4241,1467.9,2626
2020-07-15,East of England,19,1.5,169,26,12.6,59,4.6,44,72.1,2757,385.0,4248,1469.6,2629
2020-07-16,East of England,17,1.6,126,16,12.6,59,4.6,44,72.2,2761,386.0,4259,1470.7,2631
2020-07-17,East of England,10,1.6,142,16,12.6,59,4.6,44,72.2,2763,386.3,4263,1473.0,2635
2020-07-18,East of England,8,1.5,144,17,12.8,60,4.6,44,72.2,2764,386.6,4266,1474.7,2638
2020-07-19,East of England,6,1.5,143,15,12.8,60,4.6,44,72.3,2766,386.8,4268,1475.8,2640
2020-07-20,East of England,8,1.3,143,14,12.8,60,4.6,44,72.4,2769,387.0,4270,1477.5,2643
2020-07-21,East of England,7,1.1,113,13,12.8,60,4.6,44,72.4,2770,387.4,4275,1478.0,2644
2020-07-22,East of England,13,1.1,116,14,12.8,60,4.6,44,72.5,2773,388.2,4283,1479.1,2646
2020-07-23,East of England,24,1.2,100,12,12.8,60,4.6,44,72.6,2778,389.4,4297,1481.9,2651
2020-07-24,East of England,12,1.2,105,12,12.8,60,4.6,44,72.7,2781,389.9,4302,1484.2,2655
2020-07-25,East of England,16,1.3,91,11,12.8,60,4.6,44,72.8,2785,390.7,4311,1485.8,2658
2020-07-26,East of England,7,1.3,105,10,12.8,60,4.6,44,72.8,2787,390.8,4312,1488.1,2662
2020-07-27,East of England,18,1.5,100,9,12.8,60,4.6,44,73.0,2795,391.4,4319,1489.8,2665
2020-07-28,East of England,9,1.5,94,10,12.8,60,4.6,44,73.2,2800,391.8,4323,1489.8,2665
2020-07-29,East of England,8,1.4,92,9,12.8,60,4.6,44,73.2,2802,392.0,4326,1491.4,2668
2020-07-30,East of England,8,1.2,82,8,12.8,60,4.6,44,73.3,2805,392.3,4329,1492.5,2670
2020-07-31,East of England,5,1.1,77,8,12.8,60,4.6,44,73.4,2809,392.3,4329,1493.1,2671
2020-08-01,East of England,2,0.9,85,9,12.8,60,4.6,44,73.4,2810,392.4,4330,1493.1,2671
2020-08-02,East of England,7,0.9,80,9,12.8,60,4.7,45,73.5,2813,392.6,4332,1493.7,2672
2020-08-03,East of England,7,0.7,73,8,12.8,60,4.7,45,73.5,2814,392.8,4334,1495.9,2676
2020-08-04,East of England,5,0.6,69,8,12.8,60,4.7,45,73.6,2815,393.0,4336,1497.0,2678
2020-08-05,East of England,5,0.6,70,8,12.8,60,4.7,45,73.6,2816,393.0,4337,1498.7,2681
2020-08-06,East of England,4,0.5,72,9,12.8,60,4.7,45,73.6,2816,393.3,4340,1499.3,2682
2020-08-07,East of England,10,0.6,60,9,12.8,60,4.7,45,73.7,2821,393.7,4344,1499.8,2683
2020-08-08,East of England,6,0.7,59,11,12.8,60,4.7,45,73.8,2824,393.8,4345,1500.9,2685
2020-08-09,East of England,3,0.6,59,9,12.8,60,4.7,45,73.8,2825,393.9,4346,1501.5,2686
2020-08-10,East of England,8,0.6,63,8,12.8,60,4.7,45,73.9,2829,394.1,4349,1502.0,2687
2020-08-11,East of England,7,0.7,61,8,12.8,60,4.7,45,74.0,2832,394.2,4350,1503.7,2690
2020-08-12,East of England,1,0.6,56,8,12.8,60,4.7,45,74.0,2832,394.3,4351,1503.7,2690
2020-08-13,East of England,6,0.6,57,9,12.8,60,4.7,45,74.0,2833,394.5,4353,1505.4,2693
2020-08-14,East of England,8,0.6,52,6,12.8,60,4.7,45,74.1,2835,394.9,4357,1506.5,2695
2020-08-15,East of England,2,0.5,60,8,12.8,60,4.7,45,74.1,2836,394.9,4358,1506.5,2695
2020-08-16,East of England,4,0.6,54,7,12.8,60,4.7,45,74.1,2837,395.2,4361,1506.5,2695
2020-08-17,East of England,5,0.5,57,8,12.8,60,4.7,45,74.2,2838,395.4,4363,1507.6,2697
2020-08-18,East of England,4,0.5,47,6,12.8,60,4.7,45,74.2,2839,395.5,4364,1508.8,2699
2020-08-19,East of England,4,0.5,49,6,12.8,60,4.7,45,74.2,2841,395.6,4365,1509.3,2700
2020-08-20,East of England,2,0.4,47,6,12.8,60,4.7,45,74.3,2843,395.6,4365,1509.3,2700
2020-08-21,East of England,3,0.4,40,6,12.8,60,4.7,45,74.3,2843,395.7,4366,1510.4,2702
2020-08-22,East of England,2,0.4,34,7,12.8,60,4.7,45,74.3,2844,395.7,4366,1511.0,2703
2020-08-23,East of England,2,0.3,31,5,12.8,60,4.7,45,74.4,2846,395.7,4366,1511.0,2703
2020-08-24,East of England,0,0.3,35,5,12.8,60,4.7,45,74.4,2846,395.7,4366,1511.0,2703
2020-08-25,East of England,8,0.3,28,5,12.8,60,4.7,45,74.5,2849,396.1,4371,1511.0,2703
2020-08-26,East of England,4,0.3,37,5,12.8,60,4.7,45,74.5,2850,396.2,4372,1512.1,2705
2020-08-27,East of England,3,0.3,29,5,12.8,60,4.7,45,74.5,2850,396.4,4374,1512.7,2706
2020-08-28,East of England,3,0.3,30,4,12.8,60,4.7,45,74.6,2853,396.4,4374,1512.7,2706
2020-08-29,East of England,5,0.4,30,4,12.8,60,4.7,45,74.7,2858,396.4,4374,1512.7,2706
2020-08-30,East of England,1,0.4,30,3,12.8,60,4.7,45,74.7,2858,396.4,4374,1513.2,2707
2020-08-31,East of England,0,0.4,31,3,12.8,60,4.7,45,74.7,2858,396.4,4374,1513.2,2707
2020-09-01,East of England,2,0.3,31,3,12.8,60,4.7,45,74.7,2859,396.5,4375,1513.2,2707
2020-09-02,East of England,8,0.3,31,3,12.8,60,4.7,45,74.8,2861,396.9,4379,1514.3,2709
2020-09-03,East of England,5,0.4,31,3,12.8,60,4.7,45,74.9,2865,396.9,4380,1514.3,2709
2020-09-04,East of England,2,0.4,30,1,12.8,60,4.8,46,74.9,2866,396.9,4380,1514.3,2709
2020-09-05,East of England,6,0.4,25,1,12.8,60,4.9,47,75.0,2868,397.1,4382,1514.9,2710
2020-09-06,East of England,1,0.4,27,1,12.8,60,4.9,47,75.0,2869,397.1,4382,1514.9,2710
2020-09-07,East of England,5,0.4,27,1,12.8,60,4.9,47,75.0,2870,397.3,4384,1516.0,2712
2020-09-08,East of England,2,0.4,25,1,12.8,60,4.9,47,75.1,2872,397.3,4384,1516.0,2712
2020-09-09,East of England,5,0.4,31,4,12.8,60,4.9,47,75.1,2874,397.6,4387,1516.0,2712
2020-09-10,East of England,5,0.4,27,2,12.8,60,4.9,47,75.2,2876,397.8,4390,1516.0,2712
2020-09-11,East of England,6,0.5,15,67,12.8,60,4.9,47,75.2,2879,397.9,4391,1517.1,2714
2020-09-12,East of England,11,0.5,20,2,12.8,60,4.9,47,75.3,2883,398.4,4396,1518.3,2716
2020-09-13,East of England,4,0.6,21,2,12.8,60,4.9,47,75.4,2886,398.5,4397,1518.3,2716
2020-09-14,East of England,11,0.7,25,3,13.0,61,4.9,47,75.6,2892,398.7,4399,1519.4,2718
2020-09-15,East of England,13,0.8,35,3,13.2,62,4.9,47,75.8,2899,398.9,4402,1520.5,2720
2020-09-16,East of England,8,0.9,40,3,13.2,62,4.9,47,75.8,2902,399.3,4406,1521.1,2721
2020-09-17,East of England,6,0.9,42,3,13.2,62,4.9,47,75.9,2904,399.7,4410,1521.1,2721
2020-09-18,East of England,4,0.9,37,2,13.2,62,4.9,47,75.9,2906,399.8,4412,1521.1,2721
2020-09-19,East of England,4,0.8,39,3,13.2,62,4.9,47,75.9,2906,400.1,4415,1521.6,2722
2020-09-20,East of England,6,0.8,38,2,13.2,62,4.9,47,76.0,2908,400.5,4419,1521.6,2722
2020-09-21,East of England,7,0.7,41,3,13.2,62,4.9,47,76.1,2911,400.6,4420,1523.3,2725
2020-09-22,East of England,11,0.7,42,3,13.2,62,4.9,47,76.2,2917,400.9,4424,1523.8,2726
2020-09-23,East of England,7,0.7,37,2,13.2,62,4.9,47,76.3,2921,400.9,4424,1525.5,2729
2020-09-24,East of England,13,0.8,41,4,13.2,62,4.9,47,76.5,2928,401.4,4429,1526.1,2730
2020-09-25,East of England,16,1.0,45,3,13.2,62,4.9,47,76.6,2932,402.2,4438,1527.8,2733
2020-09-26,East of England,12,1.1,52,5,13.2,62,4.9,47,76.8,2937,402.7,4444,1528.3,2734
2020-09-27,East of England,15,1.2,64,6,13.2,62,4.9,47,76.8,2940,403.5,4452,1530.6,2738
2020-09-28,East of England,13,1.3,76,9,13.2,62,4.9,47,76.9,2944,403.8,4456,1533.4,2743
2020-09-29,East of England,10,1.3,89,12,13.2,62,4.9,47,77.0,2948,404.3,4461,1533.9,2744
2020-09-30,East of England,18,1.5,86,13,13.4,63,4.9,47,77.3,2956,405.0,4469,1534.5,2745
2020-10-01,East of England,11,1.5,79,12,13.4,63,4.9,47,77.3,2958,405.7,4477,1535.0,2746
2020-10-02,East of England,19,1.5,93,14,13.4,63,4.9,47,77.5,2964,406.6,4487,1536.7,2749
2020-10-03,East of England,19,1.6,101,13,13.4,63,4.9,47,77.7,2973,407.3,4494,1538.4,2752
2020-10-04,East of England,16,1.6,98,14,13.4,63,4.9,47,77.9,2979,408.1,4503,1538.9,2753
2020-10-05,East of England,23,1.8,115,13,13.4,63,4.9,47,78.1,2989,408.8,4511,1541.7,2758
2020-10-06,East of England,11,1.8,119,12,13.6,64,4.9,47,78.2,2992,409.3,4516,1542.9,2760
