date,areaName,deaths,deathsRollingRate,deaths00_04,deathsRollingRate00_04,deaths05_09,deathsRollingRate05_09,deaths10_14,deathsRollingRate10_14,deaths15_19,deathsRollingRate15_19,deaths20_24,deathsRollingRate20_24,deaths25_29,deathsRollingRate25_29,deaths30_34,deathsRollingRate30_34,deaths35_39,deathsRollingRate35_39,deaths40_44,deathsRollingRate40_44,deaths45_49,deathsRollingRate45_49,deaths50_54,deathsRollingRate50_54,deaths55_59,deathsRollingRate55_59,deaths60_64,deathsRollingRate60_64,deaths65_69,deathsRollingRate65_69,deaths70_74,deathsRollingRate70_74,deaths75_79,deathsRollingRate75_79,deaths80_84,deathsRollingRate80_84,deaths85_89,deathsRollingRate85_89,deaths90+,deathsRollingRate90+,deathsReported
2020-01-03,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-04,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-05,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-06,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-07,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-08,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-09,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-10,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-11,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-12,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-13,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-14,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-15,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-16,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-17,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-18,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-19,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-20,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-21,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-22,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-23,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-24,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-25,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-26,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-27,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-28,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-29,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-30,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-01-31,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-01,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-02,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-03,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-04,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-05,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-06,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-07,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-08,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-09,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-10,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-11,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-12,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-13,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-14,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-15,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-16,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-17,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-18,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-19,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-20,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-21,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-22,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-23,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-24,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-25,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-26,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-27,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-28,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-02-29,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-03-01,East of England,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2020-03-02,East of England,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
2020-03-03,East of England,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2020-03-04,East of England,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2020-03-05,East of England,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2020-03-06,East of England,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2020-03-07,East of England,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2020-03-08,East of England,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.5,0
2020-03-09,East of England,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.6000000000000001,0,0.0,0,0.0,0
2020-03-10,East of England,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.6000000000000001,0,0.0,0,0.0,0
2020-03-11,East of England,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.6000000000000001,0,0.0,0,0.0,0
2020-03-12,East of England,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.6000000000000001,0,0.0,0,0.0,0
2020-03-13,East of England,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.2,0,0.0,0,0.0,0
2020-03-14,East of England,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.2,0,0.0,0,0.0,0
2020-03-15,East of England,2,0.10000000000000000555,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.4,0,1.2,1,0.9,0,0.0,0
2020-03-16,East of England,2,0.10000000000000000555,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,1,0.30000000000000004,0,0.0,0,0.4,0,0.6000000000000001,0,0.9,0,0.0,0
2020-03-17,East of England,2,0.10000000000000000555,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2,1,0.30000000000000004,0,0.30000000000000004,0,0.0,0,0.4,0,0.6000000000000001,0,0.9,1,1.5,0
2020-03-18,East of England,3,0.2000000000000000111,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2,0,0.30000000000000004,0,0.30000000000000004,1,0.30000000000000004,0,0.4,1,1.2,1,1.8,0,1.5,0
2020-03-19,East of England,5,0.2000000000000000111,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.2,1,0.6000000000000001,0,0.30000000000000004,0,0.30000000000000004,2,1.3,1,1.7000000000000002,0,1.8,0,1.5,0
2020-03-20,East of England,2,0.30000000000000004441,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2,1,0.5,0,0.6000000000000001,0,0.30000000000000004,1,0.6000000000000001,0,1.3,0,1.2,0,1.8,0,1.5,0
2020-03-21,East of England,9,0.4000000000000000222,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2,1,0.7000000000000001,0,0.6000000000000001,0,0.30000000000000004,1,0.9,4,3.0,0,1.2,1,2.8,2,4.6,0
2020-03-22,East of England,13,0.60000000000000008882,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.7000000000000001,0,0.6000000000000001,3,1.2,2,1.5,1,3.0,3,2.9,3,4.6,0,4.6,0
2020-03-23,East of England,13,0.80000000000000004441,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.5,0,0.5,1,0.8,0,0.9,4,2.7,2,3.9,0,2.9,2,6.4,4,10.8,0
2020-03-24,East of England,22,1.1000000000000000888,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7000000000000001,0,0.5,0,0.6000000000000001,2,1.5,2,3.3,5,6.1,5,5.8,5,11.0,2,12.4,0
2020-03-25,East of England,22,1.3999999999999999112,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.7000000000000001,1,0.7000000000000001,0,0.6000000000000001,1,1.9,4,4.2,3,7.4,5,8.1,4,13.8,3,17.0,0
2020-03-26,East of England,34,1.8000000000000000444,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2,0,0.5,0,0.7000000000000001,1,0.6000000000000001,4,3.1,5,5.7,1,6.9,7,11.5,9,22.0,7,27.8,0
2020-03-27,East of England,40,2.5,1,0.30000000000000004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.30000000000000004,0,0.2,1,0.7000000000000001,2,1.0,1,0.8,5,4.6,4,6.5,4,8.7,6,15.0,9,30.3,7,38.6,0
2020-03-28,East of England,37,2.8999999999999999112,0,0.30000000000000004,0,0.0,0,0.0,0,0.0,0,0.0,1,0.30000000000000004,0,0.0,0,0.0,0,0.30000000000000004,1,0.5,0,0.7000000000000001,2,1.2,0,0.8,2,5.2,3,7.1,10,11.3,10,20.7,7,35.8,1,37.1,0
2020-03-29,East of England,49,3.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,1,0.5,2,1.0,0,0.5,0,1.2,1,1.1,9,7.1,7,8.6,9,14.7,1,19.6,8,40.4,10,52.5,0
2020-03-30,East of England,49,4.0999999999999996447,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.5,1,1.2,1,0.7000000000000001,2,1.7000000000000002,5,2.3,0,7.1,2,8.0,5,16.0,13,27.0,9,46.8,11,63.3,0
2020-03-31,East of England,73,4.9000000000000003553,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.5,0,1.2,2,0.9,1,1.9,3,3.1,6,8.3,9,10.1,15,20.4,13,31.7,14,55.0,10,75.7,0
2020-04-01,East of England,74,5.7000000000000001776,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.0,0,0.5,0,1.0,4,1.8,0,1.7000000000000002,3,4.0,11,11.4,10,11.9,12,24.3,13,36.3,10,60.5,11,88.1,0
2020-04-02,East of England,70,6.2999999999999998224,0,0.5,0,0.0,0,0.0,1,0.30000000000000004,0,0.0,0,0.5,0,0.0,0,0.0,0,0.5,0,1.0,4,2.7,1,1.9,1,4.0,7,12.3,4,11.6,8,27.3,18,42.6,17,67.9,9,91.1,0
2020-04-03,East of England,86,7,1,0.5,0,0.0,0,0.0,0,0.30000000000000004,1,0.30000000000000004,0,0.5,1,0.30000000000000004,0,0.0,1,0.5,2,1.4,4,3.4,4,2.4,2,4.2,6,12.6,10,13.4,9,29.5,18,49.5,12,70.6,16,105.1,0
2020-04-04,East of England,71,7.5999999999999996447,1,0.8,0,0.0,0,0.0,0,0.30000000000000004,0,0.30000000000000004,0,0.30000000000000004,0,0.30000000000000004,0,0.0,0,0.5,0,1.2,1,3.6,4,2.9,1,4.5,5,13.6,9,15.2,13,30.8,11,50.1,10,73.4,16,128.2,0
2020-04-05,East of England,89,8.1999999999999992895,0,0.5,0,0.0,0,0.0,0,0.30000000000000004,0,0.30000000000000004,0,0.0,0,0.30000000000000004,1,0.2,0,0.30000000000000004,2,1.2,1,3.8,5,4.1,2,4.8,9,13.6,10,16.1,9,30.8,16,58.7,14,78.9,20,143.7,0
2020-04-06,East of England,76,8.5999999999999996447,0,0.5,0,0.0,0,0.0,0,0.30000000000000004,0,0.30000000000000004,0,0.0,0,0.30000000000000004,0,0.2,0,0.30000000000000004,1,1.2,1,3.8,6,5.1,2,4.0,7,15.7,9,18.2,11,33.4,9,56.4,16,85.3,14,148.3,0
2020-04-07,East of England,111,9.3000000000000007105,1,0.8,0,0.0,0,0.0,0,0.30000000000000004,0,0.30000000000000004,0,0.0,0,0.30000000000000004,0,0.2,1,0.5,0,1.2,0,3.4,7,6.5,2,3.7,6,15.7,17,20.5,21,36.0,19,59.9,21,91.7,17,159.1,0
2020-04-08,East of England,114,9.9000000000000003553,1,1.1,0,0.0,0,0.0,0,0.30000000000000004,0,0.30000000000000004,1,0.30000000000000004,0,0.30000000000000004,0,0.2,1,0.8,0,1.2,2,2.9,3,7.2,3,3.7,8,14.8,14,21.7,21,39.9,23,65.6,19,100.0,19,171.5,0
2020-04-09,East of England,96,10.300000000000000711,2,1.6,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.30000000000000004,0,0.30000000000000004,0,0.2,2,1.3,0,1.2,3,2.7,4,8.0,3,4.2,4,13.9,14,24.7,12,41.6,23,68.5,19,101.8,12,176.1,0
2020-04-10,East of England,71,10.099999999999999645,1,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.0,0,0.2,1,1.3,1,1.0,2,2.3,3,7.7,0,3.7,6,13.9,9,24.4,9,41.6,16,67.3,11,100.9,13,171.5,0
2020-04-11,East of England,103,10.599999999999999645,0,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.0,2,0.7000000000000001,0,1.3,0,1.0,0,2.0,4,7.7,3,4.2,8,14.8,14,25.9,19,44.2,15,69.6,18,108.2,20,177.7,0
2020-04-12,East of England,101,10.800000000000000711,0,1.4,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.7000000000000001,0,1.3,1,0.7000000000000001,1,2.0,4,7.5,5,5.1,7,14.2,13,26.8,10,44.6,16,69.6,19,112.8,23,182.3,0
2020-04-13,East of England,82,10.900000000000000355,2,1.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.7000000000000001,2,1.8,0,0.5,0,1.8,4,7.0,2,5.1,10,15.1,7,26.2,8,43.3,19,75.4,18,114.6,12,179.2,0
2020-04-14,East of England,73,10.300000000000000711,1,1.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.5,0,0.0,0,0.7000000000000001,1,1.8,2,1.0,3,2.5,2,5.8,3,5.4,4,14.5,8,23.5,10,38.6,10,70.2,18,111.9,12,171.5,0
2020-04-15,East of England,86,9.8000000000000007105,0,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.0,0,0.7000000000000001,0,1.6,2,1.4,2,2.5,1,5.3,2,5.1,7,14.2,6,21.1,12,34.7,17,66.8,17,110.0,20,173.0,0
2020-04-16,East of England,84,9.5999999999999996447,0,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.0,0,0.7000000000000001,0,1.0,3,2.1,1,2.0,3,5.1,2,4.8,3,13.9,10,19.9,9,33.4,15,62.2,17,108.2,21,186.9,0
2020-04-17,East of England,87,9.9000000000000003553,1,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.0,0,0.7000000000000001,1,1.0,2,2.4,1,1.8,2,4.8,9,7.4,8,14.5,11,20.5,12,34.7,15,61.6,13,110.0,13,186.9,0
2020-04-18,East of England,76,9.4000000000000003553,0,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.0,0,0.2,0,1.0,0,2.4,0,1.8,2,4.3,4,7.6,7,14.2,5,17.9,13,32.1,14,61.0,19,111.0,12,174.6,0
2020-04-19,East of England,75,9,0,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0,2.1,4,2.5,0,3.4,3,7.1,9,14.8,4,15.2,6,30.3,16,61.0,14,106.4,19,168.4,0
2020-04-20,East of England,72,8.9000000000000003553,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.30000000000000004,0,0.0,1,0.2,0,0.5,1,2.4,3,3.2,3,3.1,2,7.1,3,12.6,9,15.8,9,30.8,14,58.1,14,102.7,12,168.4,0
2020-04-21,East of England,79,9,2,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.0,1,0.5,2,0.8,0,1.9,3,3.2,1,2.9,1,6.5,7,13.6,8,15.8,9,30.3,14,60.4,19,103.6,14,171.5,0
2020-04-22,East of England,76,8.8000000000000007105,0,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,1,0.30000000000000004,0,0.5,0,0.8,1,1.7000000000000002,2,3.2,4,3.6,2,6.5,4,12.6,6,15.8,17,32.5,15,59.3,14,100.9,10,156.0,0
2020-04-23,East of England,60,8.4000000000000003553,2,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.30000000000000004,0,0.5,2,1.3,0,1.0,0,2.9,3,3.6,3,6.8,2,12.3,5,14.3,8,32.1,6,54.1,16,100.0,15,146.8,0
2020-04-24,East of England,85,8.4000000000000003553,0,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,1,0.5,0,0.5,0,1.0,0,0.5,0,2.7,2,3.6,2,4.8,3,10.8,3,11.9,15,33.4,17,55.2,20,106.4,22,160.7,0
2020-04-25,East of England,59,8.0999999999999996447,0,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.5,1,0.7000000000000001,0,1.0,1,0.7000000000000001,2,3.2,3,3.9,3,4.5,4,9.9,8,12.8,5,29.9,12,54.1,10,98.1,10,157.6,0
2020-04-26,East of England,64,7.9000000000000003553,0,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.5,0,0.7000000000000001,0,1.0,1,1.0,1,2.5,2,4.3,1,4.0,6,8.9,4,12.8,3,28.6,12,51.8,15,99.0,19,157.6,0
2020-04-27,East of England,58,7.7000000000000001776,0,1.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.5,0,0.5,0,1.0,0,0.7000000000000001,1,2.0,3,4.3,2,4.0,7,10.2,4,11.3,9,28.6,15,52.4,8,93.5,9,152.9,0
2020-04-28,East of England,67,7.5,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.5,0,0.2,0,0.5,2,1.2,0,1.4,2,4.6,4,4.8,6,9.9,6,10.7,7,27.7,13,51.8,12,87.1,15,154.5,0
2020-04-29,East of England,46,7,0,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.2,0,0.5,0,1.0,1,1.1,3,4.3,2,4.8,5,10.2,1,9.2,5,22.5,9,48.3,6,79.8,14,160.7,0
2020-04-30,East of England,67,7.2000000000000001776,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.2,0,0.0,1,1.2,0,1.1,2,4.1,1,4.2,4,10.8,4,8.9,12,24.3,14,52.9,13,77.0,16,162.2,0
2020-05-01,East of England,71,6.9000000000000003553,1,0.30000000000000004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.2,1,0.30000000000000004,1,1.4,1,1.4,0,3.6,3,4.5,7,12.0,6,9.8,10,22.1,13,50.6,17,74.3,12,146.8,0
2020-05-02,East of England,38,6.5999999999999996447,0,0.30000000000000004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,1.2,0,0.9,0,2.9,1,4.0,0,10.8,6,9.2,6,22.5,5,46.6,9,73.4,11,148.3,0
2020-05-03,East of England,54,6.4000000000000003553,0,0.30000000000000004,0,0.0,0,0.0,0,0.0,0,0.0,1,0.30000000000000004,0,0.0,0,0.0,0,0.30000000000000004,0,1.0,1,0.9,0,2.4,0,3.7,1,9.3,6,9.8,9,25.1,12,46.6,12,70.6,12,137.5,0
2020-05-04,East of England,36,6.0999999999999996447,0,0.30000000000000004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.0,0,0.0,0,0.30000000000000004,0,1.0,0,0.7000000000000001,1,1.9,2,3.7,0,7.1,1,8.9,7,24.3,5,40.9,8,70.6,12,142.1,0
2020-05-05,East of England,48,5.7999999999999998224,0,0.30000000000000004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.0,0,0.0,0,0.30000000000000004,2,1.0,0,0.7000000000000001,2,1.9,1,2.8,1,5.6,9,9.8,8,24.7,8,38.0,6,65.1,11,135.9,0
2020-05-06,East of England,51,5.9000000000000003553,0,0.30000000000000004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.0,0,0.0,0,0.30000000000000004,0,1.0,0,0.5,0,1.2,2,2.8,5,5.6,6,11.3,4,24.3,10,38.6,11,69.7,13,134.4,0
2020-05-07,East of England,49,5.5999999999999996447,0,0.30000000000000004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.0,0,0.0,0,0.30000000000000004,0,0.7000000000000001,0,0.5,0,0.7000000000000001,2,3.1,4,5.6,1,10.4,3,20.4,11,36.8,12,68.8,16,134.4,0
2020-05-08,East of England,36,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.0,0,0.0,0,0.0,1,0.7000000000000001,1,0.5,0,0.7000000000000001,1,2.5,1,3.7,6,10.4,3,17.3,8,34.0,9,61.4,6,125.1,0
2020-05-09,East of England,40,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.30000000000000004,0,0.0,0,0.0,0,0.0,0,0.7000000000000001,0,0.5,1,1.0,3,3.1,2,4.3,4,9.8,1,15.2,3,32.8,13,65.1,13,128.2,0
2020-05-10,East of England,34,4.7000000000000001776,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.7000000000000001,0,0.2,0,1.0,2,3.7,1,4.3,0,8.0,2,12.1,4,28.2,9,62.4,16,134.4,0
2020-05-11,East of England,25,4.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.7000000000000001,0,0.2,1,1.0,1,3.4,0,4.3,3,8.6,2,10.0,4,27.6,6,60.5,8,128.2,0
